time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,id,place,type,magNst,Country,Continent_simplified,Continent_full,On_the_sea
2023-02-26T23:58:05.052Z,41.805,79.8675,10,5,mb,46,91,1.293,0.8,us6000jrt9,"77 km NNW of Aksu, China",earthquake,52,China,AS,Asia,NO
2023-02-26T23:33:17.641Z,18.742,145.4868,200.365,4.8,mb,67,85,5.158,0.95,us6000jrt6,"Pagan region, Northern Mariana Islands",earthquake,165,Northern Mariana Islands,OC,Oceania,Philippine Sea
2023-02-26T21:42:14.541Z,42.0857,79.9516,10,4.9,mb,45,77,1.223,0.82,us6000jrss,,earthquake,42,Kyrgyzstan,AS,Asia,NO
2023-02-26T21:35:01.303Z,14.9364,-104.5563,10,4.6,mb,51,217,5.661,0.57,us6000jrsv,northern East Pacific Rise,earthquake,205,UNKNOWN,UNKNOWN,UNKNOWN,North Pacific Ocean
2023-02-26T18:58:54.828Z,44.673,146.5159,134.299,4.5,mb,108,62,2.866,0.82,us6000jrs3,"84 km NE of Otrada, Russia",earthquake,84,Russia,EU,Europe,Sea Of Okhotsk
2023-02-26T16:41:15.756Z,-8.6103,123.3485,189.493,5.1,mb,31,77,1.099,0.94,us6000jrrq,,earthquake,41,Indonesia,AS,Asia,Sawu Sea
2023-02-26T15:08:14.122Z,-20.6362,-178.3171,544.121,4.6,mb,31,79,2.959,0.56,us6000jrrj,Fiji region,earthquake,42,Fiji,OC,Oceania,South Pacific Ocean
2023-02-26T13:53:18.822Z,51.6088,-178.3295,45.225,5,mb,44,175,0.364,0.85,us6000jrqy,"120 km WSW of Adak, Alaska",earthquake,343,United States,NA,North America,Bering Sea
2023-02-26T13:03:24.206Z,8.4375,-82.7986,6.339,4.5,mb,37,108,0.516,0.6,us6000jrqi,Panama-Costa Rica border region,earthquake,29,Panama,NA,North America,NO
2023-02-26T11:48:16.122Z,-30.2793,-177.5249,22.52,5,mb,32,121,1.07,0.68,us6000jrq2,"Kermadec Islands, New Zealand",earthquake,24,UNKNOWN,UNKNOWN,UNKNOWN,South Pacific Ocean
2023-02-26T11:37:41.100Z,-30.2146,-177.5607,26.191,4.9,mb,25,198,1,0.66,us6000jrpv,"Kermadec Islands, New Zealand",earthquake,18,UNKNOWN,UNKNOWN,UNKNOWN,South Pacific Ocean
2023-02-26T11:13:16.831Z,-30.2475,-177.6939,26.537,4.6,mb,17,133,1.002,0.33,us6000jrqe,,earthquake,13,New Zealand,OC,Oceania,South Pacific Ocean
2023-02-26T09:14:47.883Z,19.1312,121.0896,37.773,4.9,mb,73,116,3.668,0.68,us6000jrp8,,earthquake,76,Philippines,AS,Asia,South China Sea
2023-02-26T05:52:43.397Z,1.7814,125.8377,8.842,4.8,mb,71,73,1.828,0.66,us6000jrnr,"101 km ENE of Laikit, Laikit II (Dimembe), Indonesia",earthquake,60,Indonesia,AS,Asia,Maluku Sea
2023-02-26T05:13:13.523Z,-11.3973,165.7114,10,4.8,mb,36,139,4.279,0.63,us6000jrng,"74 km S of Lata, Solomon Islands",earthquake,40,Solomon Islands,OC,Oceania,Coral Sea
2023-02-26T03:53:02.135Z,5.5632,126.4766,10,4.8,mb,22,121,1.742,0.7,us6000jrn6,"94 km SSE of Pondaguitan, Philippines",earthquake,19,Indonesia,AS,Asia,Philippine Sea
2023-02-26T03:21:19.743Z,-11.2993,165.7764,10,4.9,mb,24,117,4.35,0.57,us6000jrn4,Santa Cruz Islands,earthquake,26,Solomon Islands,OC,Oceania,Coral Sea
2023-02-25T23:32:47.291Z,-0.0602,124.6411,11.109,4.9,mb,57,47,2.108,0.84,us6000jrmf,"153 km S of Tomohon, Indonesia",earthquake,73,Indonesia,AS,Asia,Maluku Sea
2023-02-25T22:16:28.252Z,-5.6372,150.3614,10,4.7,mb,26,137,4.908,0.58,us6000jrm5,"26 km ESE of Kimbe, Papua New Guinea",earthquake,22,Papua New Guinea,OC,Oceania,NO
2023-02-25T21:50:23.284Z,20.1015,120.3767,10,4.5,mb,31,111,2.781,0.48,us6000jrlx,"170 km WSW of Basco, Philippines",earthquake,21,UNKNOWN,UNKNOWN,UNKNOWN,South China Sea
2023-02-25T21:24:48.534Z,-6.111,149.7927,38.158,6.2,mww,92,45,4.185,0.9,us6000jrlp,"29 km ENE of Kandrian, Papua New Guinea",earthquake,46,Papua New Guinea,OC,Oceania,NO
2023-02-25T20:10:51.136Z,-16.2575,-172.7586,34.667,4.7,mb,27,81,2.657,0.77,us6000jrle,"115 km ESE of Hihifo, Tonga",earthquake,50,UNKNOWN,UNKNOWN,UNKNOWN,South Pacific Ocean
2023-02-25T16:48:05.114Z,-12.2749,122.4748,10,4.6,mb,13,153,3.06,1.06,us6000jrkp,south of Timor,earthquake,8,Australia,OC,Oceania,Indian Ocean
2023-02-25T16:25:15.081Z,-36.8717,-73.4591,26.58,4.8,mwr,36,80,0.249,0.85,us6000jrkg,"33 km WNW of Coronel, Chile",earthquake,,Chile,SA,South America,South Pacific Ocean
2023-02-25T16:03:21.866Z,22.7835,121.2858,10,4.6,mb,25,133,0.193,1.09,us6000jrkd,,earthquake,13,Taiwan,AS,Asia,Philippine Sea
2023-02-25T13:27:42.966Z,42.7801,145.0736,50.181,6,mww,157,49,1.612,0.91,us6000jrjl,"61 km ESE of Kushiro, Japan",earthquake,35,Japan,AS,Asia,North Pacific Ocean
